handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_f005acaf-4307-7bf2-d0f9-b0b08521871d,Product,Sunflowers 🌻 Book/iPad Sleeve,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Book/iPad Sleeve,,,30,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Extra Large;Medium;Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d,Variant,,,,,,,,10,TRUE,,,InStock,,,,Extra Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d,Variant,,,,,,,,5,TRUE,,,InStock,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d0,Product,Sunflowers 🌻 Bouffant Scrub Cap,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Bouffant Scrub Cap,,,12,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Product,Sunflowers 🌻 Domino Fitted Mask,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Domino Fitted Mask,,,12,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Extra Large;Large;Medium;Small;Extra Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Variant,,,,,,,,0,TRUE,,,InStock,,,,Extra Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Variant,,,,,,,,0,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Variant,,,,,,,,0,TRUE,,,InStock,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d1,Variant,,,,,,,,0,TRUE,,,InStock,,,,Extra Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d2,Product,Sunflowers 🌻 Harlequin Clutch,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Harlequin Clutch,,,30,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Large;Medium;Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d2,Variant,,,,,,,,10,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d2,Variant,,,,,,,,5,TRUE,,,InStock,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d2,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d3,Product,Sunflowers 🌻 Key Lanyard,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Key Lanyard,,,8,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Large;Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d3,Variant,,,,,,,,4,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d3,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d4,Product,Sunflowers 🌻 Long Hair Scrub Cap,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Long Hair Scrub Cap,,,12,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d5,Product,Sunflowers 🌻 Pleated Masks,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Pleated Masks,,,12,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Large;Medium;Small;Extra Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d5,Variant,,,,,,,,0,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d5,Variant,,,,,,,,0,TRUE,,,InStock,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d5,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d5,Variant,,,,,,,,0,TRUE,,,InStock,,,,Extra Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d6,Product,Sunflowers 🌻 Scrub Caps,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Scrub Caps,,,12,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d7,Product,Sunflowers 🌻 Tear Drop Coin Purse,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Tear Drop Coin Purse,,,10,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Large;Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d7,Variant,,,,,,,,4,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d7,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d8,Product,Sunflowers 🌻 Zippy Clutch,Please select a size before adding to cart.,a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg,Zippy Clutch,,,30,,TRUE,PERCENT,0,InStock,0,Sizes,DROP_DOWN,Large;Medium;Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d8,Variant,,,,,,,,10,TRUE,,,InStock,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d8,Variant,,,,,,,,5,TRUE,,,InStock,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f005acaf-4307-7bf2-d0f9-b0b08521871d8,Variant,,,,,,,,0,TRUE,,,InStock,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,